row_idx	labels
85	24=1;28=1;69=1;78=1
86	24=1;28=1;36=1;39=1;55=1;61=1;98=1;118=1
87	30=1;31=0.5;36=1;133=1
88	12=1;14=1;18=1;36=1;39=1;81=1;123=1;132=0.5
89	39=1;53=0.5;97=1;125=0.5
90	19=0.5;39=1;97=1
91	39=1;97=1;100=0.5;193=0.5
92	4=1;8=1;29=1;39=1;97=1;193=1
93	12=1;13=0.5;39=1;57=1;70=1;97=1;100=1
94	22=0.5;39=1;57=1;97=1;124=1
95	21=1;39=1;57=1;97=1;100=1
96	39=1;97=1;193=1;210=0.5
97	24=1;28=1;39=1;77=1;78=1;97=1;193=0.5
98	1=1;38=1;117=1
99	4=1;117=1
100	4=1;117=1;121=1;180=0.5
101	12=1;38=1;46=0.5;51=1;117=1;121=0.5
102	12=1;14=1;38=1;46=1;71=1;79=0.5;117=1;124=1
103	4=1;7=1;20=1;36=1
104	4=1;20=1;29=1;36=1
105	18=1;51=1;70=1
106	12=1;13=1;20=1;36=1;46=0.5;51=1;123=1;150=1
107	12=1;13=1;36=1;51=1;95=0.5;123=1;133=1;161=0.5
108	24=1;26=1;28=1;36=1;73=1;107=1;130=1;177=0.5
109	1=0.5;2=1;42=1;102=1;166=1;227=0.5
110	20=1;28=1;38=1;42=1;102=1;166=1;182=1
111	26=1;42=1;76=0.5;79=1;102=1;166=1
112	42=1;65=0.5;102=1;166=1
113	24=0.5;28=1;42=1;102=1;166=1;177=1
114	4=1;6=1;42=1;102=1;120=1;166=1
115	31=1;38=1;42=1;53=0.5;102=1;166=1
116	1=1;2=1;107=1
117	2=1;36=1;107=1;125=1
118	4=1;5=1;8=1;36=1;107=1
119	4=1;8=1;30=0.5;31=0.5;107=1
120	4=1;6=1;107=1
121	12=1;46=1;71=1;78=1;107=1;150=1
122	12=1;13=1;30=1;36=1;51=1;71=1;95=1;107=1
123	21=1;24=0.5;30=1;95=1;107=1;197=1
124	24=1;25=1;28=1;30=1;77=1;107=1
125	1=1;38=1
126	4=0.5;20=0.5;38=1
127	4=1;22=1;29=1;38=1
128	5=1;38=1;56=0.5
129	12=1;19=0.5;38=1;51=1;57=1;123=0.5
130	12=1;21=1;38=1;51=1
131	12=1;19=0.5;21=1;38=1;73=0.5
132	12=1;13=1;38=1;71=1;73=0.5
133	24=1;25=1;28=1;38=1;69=1;77=1
134	12=1;14=1;38=1;51=1;60=1;81=1;85=0.5;149=1
135	14=1;34=1;38=1;60=1;79=1
136	4=0.5;60=1
137	24=1;28=1;29=1;60=1;120=1
138	27=1;60=1;235=1
139	12=1;21=1;38=1;60=1;68=1;69=1
140	14=1;32=1;38=1;60=1;80=1;81=1;93=1;164=1
141	24=1;29=1;38=1;60=1;134=1;164=1;248=1
142	128=1;147=1;188=1
143	12=1;22=0.5;36=0.5;44=1;51=1;139=0.5
144	12=1;19=1;36=0.5;44=1;51=1;101=1;192=0.5
145	2=0.5;31=1;44=1
146	15=0.5;38=1;116=1;135=1
147	14=0.5;18=1;38=1;116=1;149=1
148	14=1;26=1;38=1;79=1;116=1
149	38=1;116=1;127=1;135=1;185=0.5
150	1=0.5;26=1;135=1
151	26=1;135=1
152	5=0.5;21=1;24=0.5;30=1;37=1;53=0.5
153	4=1;5=1;6=0.5;8=1;21=1;57=1;100=0.5
154	12=1;13=1;21=1;37=1;70=1
155	6=0.5;8=1;21=1;37=1;62=1;100=0.5
156	23=1;57=1;100=0.5
157	12=1;21=1;22=0.5;37=1;55=1
158	7=1;12=1;57=1;73=1
159	12=1;21=1;55=1;73=1;88=0.5
160	12=0.5;16=1;21=1;31=0.5;37=1;183=1
161	24=1;25=1;28=1;30=1;37=1;59=1
162	12=1;39=1;41=1;98=1;107=1;172=0.5
163	17=0.5;41=1;107=1
164	41=1;107=1;148=1
165	39=1;41=1;98=1;107=1;148=1;172=0.5;186=0.5
166	24=0.5;28=1;41=1;107=1;148=1
167	12=1;36=1;41=0.5;53=0.5;67=1;71=0.5
168	12=1;17=1;21=1;36=1;173=1
169	17=1;19=1;20=1;36=1
170	20=1;36=1;163=1
171	36=1;93=0.5;173=1
172	12=1;19=1;36=1;101=0.5;163=1
173	24=1;28=1;41=1;69=1;107=1
174	24=1;25=1;28=1;36=1;67=0.5;134=1
175	10=0.5;11=0.5;38=1;39=1;97=1;132=1
176	23=1;38=1;39=1;57=1;97=1;145=0.5
177	12=1;24=0.5;39=1;51=1;86=1;97=1;204=0.5
178	24=1;28=1;38=1;39=1;97=1
179	12=1;45=1;103=1;148=1;236=0.5
180	12=1;21=1;45=1;51=1;62=1
181	24=1;26=1;28=1;45=1;148=1;177=1;236=1
182	24=1;28=1;45=1;148=1
183	2=1;31=1;103=1;139=1;148=0.5
184	7=1;11=1;19=1;41=1;44=1;107=1
185	4=1;7=1;41=1;107=1;155=1
186	12=1;19=1;22=1;44=1;70=1;73=1;107=1
187	4=0.5;22=0.5;100=0.5
188	12=1;22=1;57=1;100=1
189	24=1;25=1;28=1;41=1;44=1;73=1;107=1
190	23=1;87=1;205=1
191	12=1;35=1;51=1;87=1
192	17=1;87=1;118=0.5;165=1;235=0.5
193	31=1;87=1;165=1
194	26=1;34=1;76=1;87=1
195	24=1;28=1;34=1;35=1;73=1;87=1;238=0.5
196	38=0.5;125=1;189=1;229=1;253=0.5
197	24=0.5;34=1;76=1;229=1
198	34=1;76=1;229=1
199	24=1;26=1;28=1;34=1;75=1;177=1;229=1;238=0.5;253=1
200	72=1;165=1;229=1
201	1=0.5;44=0.5;201=1
202	4=1;133=1;201=1
203	10=1;121=1;132=0.5
204	12=1;44=1;51=1;95=1
205	12=1;31=1;85=0.5;95=1;133=1;201=1
206	24=1;28=1;69=1;135=0.5
207	24=1;25=1;26=1;28=1;130=1;177=1
208	26=1;27=0.5;135=0.5
209	1=0.5;38=1;132=0.5
210	4=1;5=1;121=1
211	18=1;51=1;122=0.5
212	4=1;121=1
213	23=1;72=1;121=1;132=0.5
214	28=1;29=1;38=1;120=1
215	11=1;45=1;51=1;132=0.5
216	4=1;10=0.5;45=1;132=0.5;145=0.5
217	15=0.5;44=0.5
218	4=1;5=1;7=1;29=1;44=0.5
219	12=1;13=1;45=1;70=1
220	12=1;45=1;170=1
221	12=1;45=1;70=0.5;73=0.5
222	26=1;28=1;45=1;77=1
223	24=1;25=0.5;28=1;45=1
224	27=1;28=1
225	2=1;106=1;202=1;219=0.5
226	47=0.5;106=1;202=1
227	1=1;7=1;31=1;44=1;106=1;202=1;231=1
228	10=0.5;22=1;44=1;106=1;202=1
229	12=1;19=1;36=1;44=1;106=1;202=1
230	20=1;36=1;44=1;106=1;202=1
231	28=0.5;58=1;106=1;202=1
232	24=1;25=0.5;28=1;30=1;62=1;73=1;106=1;202=1
233	1=0.5;94=1;137=1;154=0.5
234	12=1;13=1;21=1;51=1;137=1;173=0.5
235	19=1;20=1;37=1;57=1;94=1;109=0.5;163=1
236	2=1;41=1;45=1;48=0.5;148=1
237	4=1;45=1;148=1
238	12=1;21=1;31=1;41=1;107=1;148=1;165=1;186=0.5
239	3=1;31=1;41=1;62=1;107=1;119=0.5
240	26=1;34=1;41=1;76=1;107=1
241	20=1;24=0.5;26=1;34=1;41=1;107=1;177=1;236=1
242	24=1;28=1;41=1;62=1;107=1
243	23=1;22=0.5
244	12=0.5;45=1;170=1;235=0.5
245	2=1;37=1;41=1;42=1;45=1;107=1;170=1
246	61=1;118=0.5;200=0.5;235=1
247	12=1;24=0.5;44=1;200=0.5
248	12=1;44=1;45=1;170=1
249	65=0.5;72=0.5;206=0.5
250	15=0.5;45=0.5;100=0.5
251	1=0.5;2=1;17=0.5;44=1;169=0.5
252	12=1;19=1;36=1;44=1;51=1
253	12=1;21=1;24=1;25=1;36=1;44=1;69=1;96=1
254	23=1;138=1;180=1
255	125=1;138=1;180=1
256	12=1;138=1;150=1
257	24=1;28=1;100=0.5;138=1;180=1
258	28=1;30=1;100=0.5
259	28=1;77=0.5;78=1;138=1;177=1
260	28=1;55=1;62=1;93=1;138=1
261	24=0.5;36=1;125=0.5
262	4=1;5=1;36=1;37=1;107=0.5;176=1;198=1
263	12=1;13=1;36=1;71=1;198=1
264	21=1;22=1;36=1;84=0.5;170=1;198=1
265	20=1;22=1;36=1;198=1
266	24=1;28=1;30=1;37=1;70=0.5;176=1
267	12=1;22=1;57=1;71=1
268	14=1;24=1;25=1;36=1;68=1;77=1;81=1;185=0.5
269	24=1;28=1;37=1;41=1;77=1;107=1;176=1
270	12=1;31=1;36=1;42=1;102=1;166=1;171=1;199=1
271	1=1;2=1;3=1;8=0.5;42=1;102=1;139=1;166=1;174=1;233=0.5
272	12=1;20=1;36=1;42=1;77=1;102=1;166=1
273	22=1;27=1;36=1;42=1;73=1;90=0.5;102=1;166=1;178=1
274	4=1;6=0.5;36=1;96=1
275	8=1;36=1;42=1;93=1;166=1;200=1
276	12=0.5;28=1;34=1;42=1;90=1;102=1;166=1;171=0.5;199=1;200=1
277	1=1;38=1;117=1
278	4=1;8=1;30=1;38=1;80=0.5;117=1
279	12=1;13=1;38=1;51=1;132=1
280	30=1;38=1;132=0.5;183=0.5
281	12=1;21=1;39=1;55=1;97=1;204=1
282	24=1;25=1;26=1;38=1;68=1;130=1
283	24=1;25=1;28=1;38=1;93=1
284	128=1;147=1;188=1
285	24=0.5;31=1;35=1;46=1;225=1
286	1=1;225=1
287	12=1;30=1;46=1;51=1;93=1;225=1
288	12=1;21=1;46=1;150=1;197=1
289	26=1;28=1;30=1;46=1
290	28=1;30=1;46=1
291	18=1;46=1;123=1;150=1
292	3=1;12=1;41=0.5;110=0.5;167=0.5;203=1
293	33=0.5;41=0.5;148=1;167=0.5;203=1
294	29=0.5;203=1
295	3=1;4=1;31=1;87=1;171=1;203=1
296	12=1;36=1;44=1;73=1;78=1;96=1;203=1
297	12=1;36=1;44=1;96=1
298	24=1;69=1;78=1
299	4=1;10=0.5;87=1;203=1
300	24=1;28=1;69=1;203=1
301	1=1;87=1
302	23=1;87=1;187=1
303	4=1;5=1;100=0.5
304	12=1;13=1;26=1;72=1;87=1;168=1;187=1;201=1
305	100=0.5;195=0.5
306	12=1;13=1;39=1;58=1;87=1;122=1;146=1;187=1;195=1;201=1;204=1
307	46=1;103=0.5;125=0.5
308	4=1;22=1;37=1;109=1;170=1
309	4=1;5=1;7=1;22=1;125=1
310	12=1;22=1;37=1;46=1;57=1;71=1;100=0.5;109=1;127=1
311	12=1;22=1;28=1;37=1;46=1;109=1
312	2=1;168=0.5;201=1
313	125=1;189=1;201=1
314	1=0.5;5=1;10=0.5;71=1;201=1
315	12=1;19=1;201=1
316	12=1;13=1;17=1;123=1;174=1;201=1
317	17=1;18=1;19=1;26=1;44=1;123=1;165=1;201=1;231=0.5
318	24=1;26=1;28=1;74=1;77=1;130=1;177=1;201=1
319	12=1;20=1;38=1;60=1;94=1;159=1
320	4=0.5;5=1;20=1;60=1;94=1;125=1
321	4=1;60=1;176=1
322	12=1;13=1;21=1;51=1;60=1;71=0.5
323	20=1;21=1;60=1;94=1
324	30=0.5;60=1
325	28=1;38=1;68=1;77=1
326	24=1;25=1;38=1;69=1;94=1;159=1
327	10=0.5;11=0.5;19=1;22=1;41=1;44=1;85=1;173=1
328	19=1;44=1
329	12=1;16=1;17=1;41=1;44=1;85=1;107=1;173=1;218=0.5
330	17=1;36=1;41=1;96=1;107=1;173=1;218=0.5
331	13=1;41=1;101=1;107=1;144=0.5
332	31=1;41=1;73=1;96=1;107=1
333	24=1;25=1;28=1;41=1;69=1;107=1
334	30=1;73=1;85=1
335	28=1;41=1;78=1;107=1
336	12=1;21=1;37=1;51=1
337	17=1;22=1;37=1
338	12=1;17=1;21=1;37=1
339	24=1;25=0.5;37=1;69=1
340	31=1;37=1;61=1;118=1
341	24=1;28=1;37=1;42=0.5;59=1;68=1;102=0.5
342	23=1;48=1;100=1;137=1;154=1
343	4=1;198=1
344	12=1;20=1;22=1;51=1;198=1
345	4=1;8=1;41=1;107=1
346	20=1;36=1;41=1;107=1;200=1
347	23=1;36=1;198=1
348	4=1;7=1;20=1;36=1;73=1;93=1;198=1
349	12=1;17=1;18=1;41=1;107=1;123=1;198=1
350	12=1;13=1;21=1;30=1;41=1;51=1;93=1;107=1;137=1;198=1
351	27=1;48=1;137=1
352	10=1;41=1;107=1;121=1;180=1;233=1
353	10=1;41=1;107=1;180=1;233=1
354	10=1;35=1;41=1;107=1;119=1;180=1;233=1
355	29=1;120=1;121=1
356	10=1;61=1;121=1;233=1
357	3=0.5;4=1;61=1;121=1;233=1
358	4=1;61=1;118=1;233=1
359	4=1;61=1;233=1
360	72=0.5;119=1;121=1;231=1;233=1
361	1=1;2=0.5;201=0.5
362	15=0.5;200=1;201=0.5
363	4=1;5=1;22=0.5
364	12=1;22=1;200=1;201=0.5
365	12=1;22=1;44=0.5;168=0.5;201=0.5;209=0.5
366	12=1
367	33=1;74=0.5;216=1
368	1=1;3=1;44=1;50=1;153=1;214=0.5
369	10=0.5;121=1;154=0.5
370	27=0.5;50=1;112=0.5;201=1;216=1
371	3=1;12=1;18=1;50=1;72=1;121=1;196=0.5;200=1;232=1;249=1
372	1=1;37=1;38=1;208=1
373	24=1;38=1;208=1;215=0.5
374	12=1;13=1;24=1;25=1;34=1;69=1;134=1;208=1
375	24=1;25=1;34=1;55=1;75=0.5;134=1;208=1
376	25=0.5;208=1;215=1
377	4=1;44=1;67=0.5;95=1;125=1
378	4=1;70=0.5
379	4=1;8=1;30=0.5
380	20=1;95=1;121=1
381	29=0.5;215=1;220=0.5
382	12=1;17=1;20=1;123=1;231=1
383	12=1;20=1;36=1;51=1;200=1
384	16=1;24=1;25=0.5;28=1;183=1;215=1
385	24=1;25=1;28=1;69=1;215=1;220=1
386	28=1;53=0.5;121=1
387	128=1;147=1;188=1
388	12=1;22=1;36=1;62=1;85=1;198=1
389	19=1;36=1;84=0.5;198=1
390	20=1;36=1;85=1;161=1;173=1;198=1
391	4=1;8=1;36=1;173=1
392	4=1;7=1;36=1;62=1;173=1
393	12=1;36=1;62=1;231=1
394	22=1;36=1;90=0.5
395	12=1;19=1;22=1;36=1;44=1;62=1;231=1
396	24=1;28=1;62=1;69=1;73=1
397	11=0.5;44=1;47=1;106=1;107=1;202=1
398	12=1;47=1;106=1;107=1;202=1
399	22=1;27=0.5;45=0.5;202=1
400	12=1;19=1;44=1;106=1;202=1
401	12=1;47=1;85=1;93=0.5;106=1;173=1;202=1
402	12=1;13=1;19=1;36=1;44=1;85=1;106=1;173=1;202=1
403	4=1;47=1;70=1;106=1;202=1
404	28=1;78=1;202=1
405	1=1;45=1
406	4=1;8=1;37=1;45=1;170=1
407	12=1;13=1;21=1;45=1;170=1;176=1
408	21=1;45=1
409	28=1;37=1;109=0.5;170=1;211=0.5
410	28=1;37=1;45=1;103=1;170=1
411	24=1;28=1;45=1;170=1
412	23=1;45=1
413	1=0.5;45=1;235=0.5
414	31=0.5;45=1;235=0.5
415	2=1;18=1;42=1;45=1;103=1;104=0.5;168=1;170=1
416	4=1;45=1;170=1;215=0.5
417	20=1;37=1;45=1;125=1
418	12=1;20=1;45=1;143=1
419	15=0.5;24=1;28=1;69=1;127=1;185=0.5
420	18=1;43=1;93=1;150=0.5
421	12=1;21=1;25=0.5;55=1;68=1;71=1;73=1
422	12=1;36=1;51=1;93=1;136=1
423	31=1;67=1;73=1;93=1
424	20=1;22=1;41=1;77=1;90=1;93=1;107=1
425	24=0.5;28=1;41=1;77=1;78=1;93=1;107=1;136=1
426	28=1;93=1
427	1=1;41=1;48=0.5;107=1;131=1;137=1;154=1
428	12=0.5;34=1;36=1;41=1;107=1;137=0.5;180=1
429	10=0.5;36=1;49=0.5;200=1
430	24=1;28=1;34=1;36=1;134=1;200=1
431	1=1;38=1;42=1;102=1;166=1
432	38=1;42=1;72=0.5;102=1;166=1
433	12=1;38=1;42=1;102=1;166=1
434	20=1;28=1;38=1;42=1;77=1;102=1;166=1
435	12=1;21=1;38=1;39=1;42=1;97=1;102=1;166=1
436	21=1;24=1;38=1;39=1;42=1;97=1;102=1;166=1;197=1
437	12=1;39=1;98=1;100=1;146=1;195=1
438	39=1;57=1;98=1;100=1;145=1
439	57=1;98=1;146=1;195=1
440	4=0.5;27=1;216=1
441	20=1;36=1;37=1
442	4=1;18=1;36=1;37=1;198=1
443	12=1;36=1;37=1;51=1;73=1;198=1
444	12=1;13=1;36=1;37=1;41=1;44=1;53=0.5;73=1;107=1
445	12=1;21=1;22=1;36=1;45=1;71=1;100=1;197=1
446	24=1;25=1;28=1;36=1;37=1;69=1;73=1
447	128=1;147=1;188=1
448	11=0.5;44=1;99=1;100=1
449	23=1;44=1;57=1;145=1
450	19=1;44=1;57=1
451	99=1;100=1;144=1
452	5=1;15=0.5;99=1;100=1
453	99=1;100=1;144=1
454	99=1;100=1;144=1
455	12=1;44=1;73=1;99=1;100=1;191=1
456	4=1;6=1;38=1;39=1;80=0.5;117=1
457	14=1;38=1;39=1;58=0.5;79=0.5;116=1;117=1
458	14=1;26=1;38=1;79=1;116=1;117=1
459	38=1;117=1
460	32=1;141=1
461	24=1;27=1;29=1;38=1;39=1;86=0.5;120=1;244=0.5
462	24=1;27=1;30=1;93=1
463	128=0.5;147=1;188=1
464	41=1;105=1;107=1;137=1;230=1
465	5=1;12=1;21=1;37=1;41=1;105=1;107=1;176=1;230=1
466	20=1;36=1;41=1;105=1;107=1;230=1
467	28=1;41=1;105=1;107=1;230=1
468	28=1;30=1;41=1;105=1;107=1
469	41=1;93=1;107=1;136=1
470	12=1;14=0.5;44=1;46=1;81=0.5;225=0.5
471	19=1;44=1;46=1;198=0.5
472	30=0.5;46=1;133=0.5
473	14=0.5;28=1;46=1;78=1;147=0.5
474	15=0.5;20=1;38=1;94=1
475	56=1;190=1
476	4=1;6=1;38=1;120=1
477	5=1;35=1;53=0.5;161=0.5
478	12=1;33=0.5;34=1;35=1;38=1;46=1;85=1;117=1
479	20=1;24=1;28=1;34=1;35=1;75=1;161=1;177=1
480	24=1;28=1;34=1;35=1;73=1;238=0.5
481	4=1;7=1;8=1;41=1;107=1
482	5=1;20=1;107=1
483	36=1;53=0.5;107=1
484	12=1;21=1;36=1;44=1;51=1;197=1
485	17=1;36=1;44=1
486	19=1;44=1;57=1;107=0.5
487	19=1;36=1;41=1;107=1;171=0.5;198=1
488	3=1;12=1;31=1;41=1;62=1;107=1;171=1
489	28=1;41=1;107=1
490	11=0.5;36=1;41=0.5;44=1;47=1;85=1
491	4=1;43=0.5;47=1;91=1;106=1
492	47=1;90=0.5;198=0.5
493	12=1;19=1;36=1;41=0.5;44=1
494	47=1;85=1;173=1;198=1
495	17=1;19=1;36=1;44=1;47=1
496	22=1;36=1;47=1;57=1;100=1;101=1;144=1
497	24=1;28=1;47=1;69=1;101=0.5
498	15=0.5;100=0.5;143=1
499	72=1;98=1;100=1
500	50=1;112=1;119=1;187=1
501	50=1;112=1;187=1
502	3=1;15=0.5;41=1;50=1;112=1;119=1;171=1;187=1
503	18=1;26=1;50=1;64=1;72=1;112=1;119=1;171=1;187=1;196=1;232=1;233=1
504	10=1;22=1;36=1;44=1;85=1
505	4=0.5;15=0.5;200=0.5
506	12=1;13=1;20=1;36=1;39=1;44=1;51=1;97=1
507	19=1;36=1;44=1;96=1
508	67=1;94=0.5;118=0.5
509	4=1;12=1;22=1;44=1;70=1;96=1
510	24=1;26=1;28=1;69=1;177=1
511	24=1;30=1;37=0.5;45=0.5;73=1
512	4=1;61=1;118=1;119=1
513	4=1;37=1;61=1
514	1=1;2=1;3=1;42=1;45=1;61=1;104=0.5;168=1;201=1
515	12=1;61=1;71=1;118=1;137=1;215=1
516	118=1;235=1
517	12=1;19=1;61=1;71=1;101=1;118=1;177=0.5
518	24=1;26=1;27=1;28=1;45=1;61=1;77=1;118=1;119=1
519	2=1;31=1;41=1;104=0.5;107=1;201=1
520	24=1;30=1;41=1;107=1
521	4=1;5=1;8=1;41=1;107=1
522	12=1;22=1;41=1;44=1;107=1
523	20=1;22=1;41=1;90=1;107=1;200=1
524	24=0.5;62=1;73=1;107=1
525	24=1;26=1;28=1;69=1;107=1;130=1;177=1
526	4=1;8=1;38=1
527	12=1;13=1;38=1;51=1;53=0.5;71=1;137=1
528	17=1;18=1;21=1
529	20=1;21=1;38=1
530	17=1;21=1;38=1
531	17=0.5;38=1;55=1
532	19=1;20=1;38=1;55=1;65=1;123=0.5
533	28=1;38=1;43=1;62=1;73=1;77=1;110=1;201=1
534	18=1;24=1;25=1;27=1;28=1;38=1;62=1;73=1;122=1;123=1;177=1
535	3=1;38=1;43=1;110=1;153=0.5
536	12=1;24=0.5;34=0.5;43=1;110=1;134=0.5
537	12=1;20=1;37=1;43=1;89=1;110=1
538	28=1;29=1;30=0.5;43=1;53=0.5;120=1
539	1=1;137=1;180=1
540	2=0.5;137=1;180=1
541	1=1;67=0.5;73=1;137=1;180=1
542	5=1;53=0.5;62=1;73=1;137=1;197=1
543	12=1;13=1;21=1;39=1;51=1;98=1;137=1;180=1
544	35=1;41=1;107=1;125=1;189=1;200=1
545	3=1;35=1;41=1;62=1;107=1;200=1
546	12=1;41=1;107=1;161=0.5;171=0.5
547	23=1;35=1;41=1;107=1;200=1
548	19=1;31=1;35=1;41=1;73=1;95=1;107=1;200=1;231=1
549	24=0.5;28=1;41=1;100=1;101=1;107=1;144=0.5
550	24=1;44=1;197=1
551	15=0.5;44=1;197=1
552	4=1;7=1;44=1;99=1
553	31=1;44=1;73=1
554	12=1;13=1;44=1;51=1;73=1
555	12=1;41=0.5;44=1;107=0.5
556	24=1;25=1;28=1;44=1;73=1;177=1
557	39=1;97=1;125=1
558	1=1;39=1;84=1;97=1;170=1
559	12=1;13=1;39=1;57=1;97=1;170=1
560	12=0.5;39=1;57=1;97=1;170=1
561	4=0.5;24=1;28=1;39=1;70=0.5;97=1;170=1;193=1
562	24=1;25=1;26=1;28=1;39=1;97=1
563	27=1;39=1;97=1;127=1;170=1
564	1=1;3=1;41=1;62=1;107=1;171=1
565	4=0.5;37=0.5
566	3=0.5;23=1
567	23=1;132=1
568	23=1;171=0.5
569	4=1
570	12=1;13=1;44=1;96=1;146=1
571	24=0.5;27=1;28=1;29=1;41=1;107=1;171=1
572	44=1;125=1
573	5=1;23=1;44=1;231=1
574	19=1;44=1;73=0.5;93=1;231=1
575	23=1;44=1
576	24=1;44=1;231=1
577	12=1;13=1;44=1;98=0.5;172=0.5;197=0.5
578	24=1;26=1;28=1;44=1;69=1
579	27=1;44=1;93=1;231=1
580	1=1;2=1;3=1;35=1;119=1;171=1
581	2=1;3=1;33=0.5;41=1;42=1;50=1;90=1;119=1;171=1;201=1
582	31=1;35=1;61=1;112=1;119=1;165=1;232=1
583	3=1;15=0.5;50=1;61=1;62=1;63=1;119=1
584	1=1;165=1;234=1
585	4=1;234=1
586	2=1;38=1;204=1;234=1
587	125=1;204=1;234=1
588	15=1;38=1;204=1;234=1
589	15=1;18=1;21=1;38=1;79=0.5;204=1;234=1
590	177=1;204=1;234=1
591	23=1;45=1;139=1;201=1;209=1
592	4=1;5=1;139=1;192=1;201=1
593	12=1;139=1;192=1;201=1;209=1
594	19=1;139=1;192=1;201=1;231=1
595	19=1;44=1;139=1;192=1;201=1
596	28=1;77=1;139=1;201=1
597	24=1;28=1;139=1;192=1;201=1
598	24=1;28=1;55=1;139=1;192=1;201=1
599	23=1;131=1;154=1
600	4=1;5=1;121=1;131=1;154=1
601	100=1;101=1;144=1;154=1
602	4=1;5=1;46=1;100=1
603	10=1;46=1;57=1;100=1
604	57=1;100=1;101=1;144=1
